date,food_category,units_sold,order_count,unique_products,estimated_current_stock_simulated,avg_days_to_expiry_simulated,historical_damaged_stock_total,day_of_week,month,is_weekend
2023-03-17,Beverages,1,1,1,47,105.0,274,Friday,3,0
2023-03-18,Beverages,4,2,2,111,170.25,562,Saturday,3,1
2023-03-20,Beverages,1,1,1,52,74.0,342,Monday,3,0
2023-03-22,Beverages,2,1,1,40,12.0,314,Wednesday,3,0
2023-03-25,Beverages,2,1,1,45,17.0,320,Saturday,3,1
2023-03-26,Beverages,1,1,1,44,8.0,314,Sunday,3,1
2023-03-27,Beverages,3,1,1,65,163.0,270,Monday,3,0
2023-03-28,Beverages,2,1,1,64,159.0,280,Tuesday,3,0
2023-03-30,Beverages,2,1,1,33,92.0,274,Thursday,3,0
2023-04-02,Beverages,3,1,1,51,1.0,314,Sunday,4,1
2023-04-04,Beverages,3,1,1,53,44.0,316,Tuesday,4,0
2023-04-07,Beverages,4,2,2,150,151.75,570,Friday,4,0
2023-04-09,Beverages,3,1,1,52,178.0,318,Sunday,4,1
2023-04-15,Beverages,3,1,1,54,138.0,298,Saturday,4,1
2023-04-16,Beverages,5,2,2,55,74.6,648,Sunday,4,1
2023-04-17,Beverages,3,1,1,55,92.0,280,Monday,4,0
2023-04-19,Beverages,3,1,1,38,164.0,314,Wednesday,4,0
2023-04-21,Beverages,1,1,1,39,138.0,270,Friday,4,0
2023-04-25,Beverages,5,2,2,80,25.4,676,Tuesday,4,0
2023-04-26,Beverages,6,2,2,109,120.0,594,Wednesday,4,0
2023-04-27,Beverages,4,3,3,148,147.0,908,Thursday,4,0
2023-04-29,Beverages,3,1,1,52,122.0,292,Saturday,4,1
2023-05-01,Beverages,5,2,2,86,61.0,634,Monday,5,0
2023-05-02,Beverages,3,2,2,106,140.33,606,Tuesday,5,0
2023-05-03,Beverages,3,1,1,54,121.0,272,Wednesday,5,0
2023-05-05,Beverages,1,1,1,74,118.0,298,Friday,5,0
2023-05-07,Beverages,3,1,1,43,121.0,318,Sunday,5,1
2023-05-09,Beverages,3,1,1,70,171.0,282,Tuesday,5,0
2023-05-10,Beverages,5,2,2,120,103.4,618,Wednesday,5,0
2023-05-12,Beverages,6,3,3,140,131.0,870,Friday,5,0
2023-05-13,Beverages,3,1,1,66,108.0,292,Saturday,5,1
2023-05-15,Beverages,1,1,1,22,146.0,320,Monday,5,0
2023-05-16,Beverages,2,1,1,26,45.0,274,Tuesday,5,0
2023-05-17,Beverages,3,1,1,70,104.0,292,Wednesday,5,0
2023-05-19,Beverages,5,2,2,124,119.8,596,Friday,5,0
2023-05-23,Beverages,7,4,3,197,130.43,866,Tuesday,5,0
2023-05-28,Beverages,3,1,1,50,32.0,312,Sunday,5,1
2023-05-29,Beverages,2,1,1,65,99.0,318,Monday,5,0
2023-05-30,Beverages,6,2,1,57,107.0,290,Tuesday,5,0
2023-06-04,Beverages,3,1,1,71,93.0,318,Sunday,6,1
2023-06-06,Beverages,2,1,1,44,124.0,320,Tuesday,6,0
2023-06-07,Beverages,3,1,1,55,160.0,316,Wednesday,6,0
2023-06-08,Beverages,1,1,1,58,40.0,280,Thursday,6,0
2023-06-09,Beverages,1,1,1,38,117.0,318,Friday,6,0
2023-06-10,Beverages,2,2,2,86,104.0,590,Saturday,6,1
2023-06-12,Beverages,1,1,1,15,17.0,312,Monday,6,0
2023-06-14,Beverages,5,2,2,87,119.8,606,Wednesday,6,0
2023-06-15,Beverages,2,1,1,73,91.0,290,Thursday,6,0
2023-06-21,Beverages,2,1,1,41,101.0,314,Wednesday,6,0
2023-06-23,Beverages,1,1,1,35,118.0,294,Friday,6,0
2023-06-27,Beverages,6,2,2,79,77.5,614,Tuesday,6,0
2023-06-29,Beverages,4,2,2,63,77.5,598,Thursday,6,0
2023-07-01,Beverages,2,1,1,27,59.0,292,Saturday,7,1
2023-07-02,Beverages,2,2,1,67,114.0,302,Sunday,7,1
2023-07-03,Beverages,2,2,2,123,114.5,584,Monday,7,0
2023-07-04,Beverages,3,2,2,69,43.33,598,Tuesday,7,0
2023-07-09,Beverages,1,1,1,67,59.0,270,Sunday,7,1
2023-07-11,Beverages,2,1,1,53,100.0,294,Tuesday,7,0
2023-07-13,Beverages,2,1,1,30,103.0,302,Thursday,7,0
2023-07-14,Beverages,5,2,2,101,116.6,590,Friday,7,0
2023-07-17,Beverages,3,1,1,42,50.0,318,Monday,7,0
2023-07-19,Beverages,1,1,1,36,97.0,302,Wednesday,7,0
2023-07-23,Beverages,1,1,1,49,37.0,292,Sunday,7,1
2023-07-27,Beverages,3,1,1,65,70.0,316,Thursday,7,0
2023-07-30,Beverages,3,1,1,61,168.0,280,Sunday,7,1
2023-07-31,Beverages,2,1,1,31,31.0,298,Monday,7,0
2023-08-01,Beverages,3,2,2,104,64.33,612,Tuesday,8,0
2023-08-02,Beverages,2,1,1,71,64.0,316,Wednesday,8,0
2023-08-03,Beverages,1,1,1,24,58.0,314,Thursday,8,0
2023-08-08,Beverages,3,1,1,46,29.0,270,Tuesday,8,0
2023-08-14,Beverages,2,1,1,27,74.0,282,Monday,8,0
2023-08-15,Beverages,1,1,1,36,46.0,314,Tuesday,8,0
2023-08-16,Beverages,3,1,1,85,50.0,316,Wednesday,8,0
2023-08-17,Beverages,3,1,1,48,14.0,298,Thursday,8,0
2023-08-18,Beverages,3,1,1,32,130.0,312,Friday,8,0
2023-08-19,Beverages,2,1,1,67,66.0,302,Saturday,8,1
2023-08-20,Beverages,8,3,3,220,17.62,900,Sunday,8,1
2023-08-21,Beverages,2,1,1,34,146.0,280,Monday,8,0
2023-08-22,Beverages,1,1,1,41,58.0,294,Tuesday,8,0
2023-08-23,Beverages,5,2,2,91,54.8,610,Wednesday,8,0
2023-08-24,Beverages,2,1,1,26,8.0,272,Thursday,8,0
2023-08-26,Beverages,2,1,1,42,80.0,316,Saturday,8,1
2023-08-27,Beverages,2,1,1,42,38.0,318,Sunday,8,1
2023-08-28,Beverages,3,1,1,21,38.0,316,Monday,8,0
2023-08-29,Beverages,3,1,1,22,37.0,316,Tuesday,8,0
2023-08-30,Beverages,2,1,1,46,76.0,316,Wednesday,8,0
2023-08-31,Beverages,8,3,3,87,80.12,880,Thursday,8,0
2023-09-06,Beverages,2,2,2,73,103.5,636,Wednesday,9,0
2023-09-07,Beverages,1,1,1,30,152.0,306,Thursday,9,0
2023-09-09,Beverages,3,2,2,64,46.67,628,Saturday,9,1
2023-09-14,Beverages,2,1,1,57,77.0,274,Thursday,9,0
2023-09-18,Beverages,1,1,1,13,99.0,312,Monday,9,0
2023-09-22,Beverages,1,1,1,37,163.0,318,Friday,9,0
2023-09-23,Beverages,5,2,2,96,136.2,570,Saturday,9,1
2023-09-24,Beverages,5,2,2,114,48.4,594,Sunday,9,1
2023-09-25,Beverages,5,2,1,20,111.0,280,Monday,9,0
2023-09-26,Beverages,1,1,1,68,64.0,342,Tuesday,9,0
2023-09-27,Beverages,2,1,1,33,167.0,290,Wednesday,9,0
2023-09-28,Beverages,4,2,2,123,35.0,616,Thursday,9,0
2023-10-03,Beverages,1,1,1,29,16.0,294,Tuesday,10,0
2023-10-11,Beverages,3,2,2,61,64.33,622,Wednesday,10,0
2023-10-13,Beverages,3,1,1,38,74.0,312,Friday,10,0
2023-10-14,Beverages,3,1,1,28,46.0,342,Saturday,10,1
2023-10-15,Beverages,2,1,1,27,173.0,320,Sunday,10,1
2023-10-16,Beverages,2,1,1,30,44.0,342,Monday,10,0
