date,food_category,units_sold,order_count,unique_products,estimated_current_stock_simulated,avg_days_to_expiry_simulated,historical_damaged_stock_total,day_of_week,month,is_weekend
2023-03-16,Dairy,1,1,1,37,5.0,296,Thursday,3,0
2023-03-19,Dairy,6,3,3,135,3.33,894,Sunday,3,1
2023-03-23,Dairy,3,2,2,89,3.33,582,Thursday,3,0
2023-03-25,Dairy,5,3,2,109,4.2,594,Saturday,3,1
2023-03-26,Dairy,2,1,1,23,6.0,306,Sunday,3,1
2023-03-27,Dairy,4,2,2,107,5.5,548,Monday,3,0
2023-03-28,Dairy,2,2,2,71,6.0,588,Tuesday,3,0
2023-03-29,Dairy,3,1,1,49,3.0,322,Wednesday,3,0
2023-03-30,Dairy,3,1,1,45,1.0,308,Thursday,3,0
2023-04-05,Dairy,4,2,2,77,4.0,588,Wednesday,4,0
2023-04-06,Dairy,4,2,2,110,2.0,590,Thursday,4,0
2023-04-07,Dairy,5,2,2,73,4.0,626,Friday,4,0
2023-04-08,Dairy,2,1,1,62,3.0,308,Saturday,4,1
2023-04-09,Dairy,6,3,3,122,4.33,848,Sunday,4,1
2023-04-11,Dairy,3,1,1,63,7.0,296,Tuesday,4,0
2023-04-13,Dairy,1,1,1,59,1.0,308,Thursday,4,0
2023-04-16,Dairy,1,1,1,50,4.0,304,Sunday,4,1
2023-04-21,Dairy,5,3,3,123,1.8,868,Friday,4,0
2023-04-23,Dairy,2,1,1,14,4.0,302,Sunday,4,1
2023-04-24,Dairy,4,2,2,90,5.75,594,Monday,4,0
2023-04-25,Dairy,5,2,2,149,6.6,588,Tuesday,4,0
2023-04-28,Dairy,1,1,1,69,4.0,308,Friday,4,0
2023-04-30,Dairy,3,1,1,27,5.0,308,Sunday,4,1
2023-05-03,Dairy,5,2,2,69,2.4,558,Wednesday,5,0
2023-05-04,Dairy,6,3,3,115,3.5,912,Thursday,5,0
2023-05-05,Dairy,9,4,4,212,6.11,1130,Friday,5,0
2023-05-06,Dairy,7,3,3,149,4.0,934,Saturday,5,1
2023-05-07,Dairy,2,1,1,28,1.0,308,Sunday,5,1
2023-05-08,Dairy,1,1,1,74,6.0,312,Monday,5,0
2023-05-09,Dairy,3,1,1,48,3.0,282,Tuesday,5,0
2023-05-10,Dairy,4,2,2,99,6.0,600,Wednesday,5,0
2023-05-12,Dairy,1,1,1,28,4.0,308,Friday,5,0
2023-05-13,Dairy,1,1,1,78,1.0,292,Saturday,5,1
2023-05-14,Dairy,4,2,2,116,6.5,560,Sunday,5,1
2023-05-16,Dairy,1,1,1,81,5.0,292,Tuesday,5,0
2023-05-19,Dairy,1,1,1,34,5.0,292,Friday,5,0
2023-05-20,Dairy,2,1,1,41,2.0,308,Saturday,5,1
2023-05-22,Dairy,2,1,1,51,3.0,316,Monday,5,0
2023-05-23,Dairy,1,1,1,52,4.0,322,Tuesday,5,0
2023-05-24,Dairy,1,1,1,45,1.0,302,Wednesday,5,0
2023-05-27,Dairy,1,1,1,24,4.0,286,Saturday,5,1
2023-05-29,Dairy,2,1,1,50,1.0,296,Monday,5,0
2023-05-30,Dairy,1,1,1,73,3.0,286,Tuesday,5,0
2023-06-02,Dairy,1,1,1,27,3.0,304,Friday,6,0
2023-06-03,Dairy,1,1,1,41,2.0,272,Saturday,6,1
2023-06-05,Dairy,2,1,1,38,1.0,280,Monday,6,0
2023-06-06,Dairy,1,1,1,31,6.0,304,Tuesday,6,0
