date,food_category,units_sold,order_count,unique_products,estimated_current_stock_simulated,avg_days_to_expiry_simulated,historical_damaged_stock_total,day_of_week,month,is_weekend
2023-03-16,Dry Goods,3,1,1,29,308.0,290,Thursday,3,0
2023-03-22,Dry Goods,2,1,1,20,239.0,314,Wednesday,3,0
2023-03-23,Dry Goods,2,1,1,52,343.0,280,Thursday,3,0
2023-03-24,Dry Goods,3,1,1,78,344.0,326,Friday,3,0
2023-03-25,Dry Goods,1,1,1,23,236.0,314,Saturday,3,1
2023-03-30,Dry Goods,1,1,1,55,109.0,300,Thursday,3,0
2023-03-31,Dry Goods,1,1,1,83,71.0,262,Friday,3,0
2023-04-04,Dry Goods,5,2,2,86,167.6,640,Tuesday,4,0
2023-04-08,Dry Goods,5,2,2,106,220.2,556,Saturday,4,1
2023-04-09,Dry Goods,2,1,1,57,40.0,306,Sunday,4,1
2023-04-10,Dry Goods,2,1,1,91,71.0,248,Monday,4,0
2023-04-11,Dry Goods,1,1,1,40,219.0,314,Tuesday,4,0
2023-04-13,Dry Goods,3,2,2,124,136.67,534,Thursday,4,0
2023-04-14,Dry Goods,1,1,1,74,321.0,280,Friday,4,0
2023-04-16,Dry Goods,3,1,1,64,33.0,306,Sunday,4,1
2023-04-19,Dry Goods,1,1,1,32,281.0,344,Wednesday,4,0
2023-04-21,Dry Goods,1,1,1,31,105.0,304,Friday,4,0
2023-04-22,Dry Goods,2,2,2,92,178.5,590,Saturday,4,1
2023-04-24,Dry Goods,1,1,1,27,352.0,330,Monday,4,0
2023-04-26,Dry Goods,2,1,1,30,82.0,300,Wednesday,4,0
2023-04-30,Dry Goods,3,2,2,107,318.33,620,Sunday,4,1
2023-05-01,Dry Goods,1,1,1,41,50.0,248,Monday,5,0
2023-05-02,Dry Goods,6,2,2,84,92.5,610,Tuesday,5,0
2023-05-03,Dry Goods,2,2,2,126,170.0,542,Wednesday,5,0
2023-05-06,Dry Goods,1,1,1,46,90.0,304,Saturday,5,1
2023-05-08,Dry Goods,4,2,2,73,125.75,648,Monday,5,0
2023-05-09,Dry Goods,3,1,1,39,185.0,322,Tuesday,5,0
2023-05-12,Dry Goods,2,1,1,43,192.0,306,Friday,5,0
2023-05-13,Dry Goods,3,1,1,60,237.0,314,Saturday,5,1
2023-05-15,Dry Goods,5,3,3,186,210.8,900,Monday,5,0
2023-05-16,Dry Goods,7,3,3,156,135.43,920,Tuesday,5,0
2023-05-17,Dry Goods,2,1,1,77,21.0,276,Wednesday,5,0
2023-05-18,Dry Goods,2,1,1,14,143.0,286,Thursday,5,0
2023-05-20,Dry Goods,2,1,1,60,76.0,304,Saturday,5,1
2023-05-22,Dry Goods,3,1,1,52,172.0,322,Monday,5,0
2023-05-23,Dry Goods,3,1,1,56,323.0,330,Tuesday,5,0
2023-05-25,Dry Goods,2,1,1,54,23.0,308,Thursday,5,0
2023-05-27,Dry Goods,1,1,1,51,36.0,318,Saturday,5,1
2023-05-29,Dry Goods,2,1,1,69,22.0,248,Monday,5,0
2023-05-30,Dry Goods,1,1,1,32,27.0,310,Tuesday,5,0
2023-05-31,Dry Goods,2,1,1,39,197.0,268,Wednesday,5,0
2023-06-01,Dry Goods,3,1,1,40,203.0,264,Thursday,6,0
2023-06-02,Dry Goods,1,1,1,41,195.0,268,Friday,6,0
2023-06-05,Dry Goods,3,1,1,70,42.0,300,Monday,6,0
2023-06-06,Dry Goods,3,1,1,32,282.0,304,Tuesday,6,0
2023-06-07,Dry Goods,6,2,1,34,123.0,286,Wednesday,6,0
