date,food_category,units_sold,order_count,unique_products,estimated_current_stock_simulated,avg_days_to_expiry_simulated,historical_damaged_stock_total,day_of_week,month,is_weekend
2023-03-16,Frozen Foods,1,1,1,84,115.0,286,Thursday,3,0
2023-03-18,Frozen Foods,2,1,1,24,49.0,264,Saturday,3,1
2023-03-21,Frozen Foods,7,3,3,105,98.43,922,Tuesday,3,0
2023-03-25,Frozen Foods,6,3,3,79,124.67,848,Saturday,3,1
2023-03-26,Frozen Foods,1,1,1,69,180.0,316,Sunday,3,1
2023-03-27,Frozen Foods,4,2,2,95,41.0,578,Monday,3,0
2023-03-29,Frozen Foods,5,2,2,60,115.0,564,Wednesday,3,0
2023-03-31,Frozen Foods,3,1,1,46,99.0,320,Friday,3,0
2023-04-01,Frozen Foods,1,1,1,38,35.0,264,Saturday,4,1
2023-04-03,Frozen Foods,1,1,1,45,91.0,294,Monday,4,0
2023-04-04,Frozen Foods,3,1,1,29,106.0,304,Tuesday,4,0
2023-04-06,Frozen Foods,5,2,2,100,105.4,596,Thursday,4,0
2023-04-07,Frozen Foods,3,1,1,54,101.0,292,Friday,4,0
2023-04-10,Frozen Foods,4,2,2,77,94.0,662,Monday,4,0
2023-04-12,Frozen Foods,3,1,1,21,6.0,284,Wednesday,4,0
2023-04-13,Frozen Foods,5,2,2,74,62.0,606,Thursday,4,0
2023-04-14,Frozen Foods,1,1,1,42,118.0,282,Friday,4,0
2023-04-15,Frozen Foods,4,2,2,95,99.0,642,Saturday,4,1
2023-04-16,Frozen Foods,6,2,2,86,80.0,640,Sunday,4,1
2023-04-21,Frozen Foods,3,1,1,39,154.0,316,Friday,4,0
2023-04-23,Frozen Foods,3,1,1,58,165.0,302,Sunday,4,1
2023-04-24,Frozen Foods,2,1,1,23,84.0,292,Monday,4,0
2023-04-25,Frozen Foods,2,1,1,60,163.0,302,Tuesday,4,0
2023-04-26,Frozen Foods,1,1,1,21,87.0,320,Wednesday,4,0
2023-04-27,Frozen Foods,3,1,1,19,169.0,294,Thursday,4,0
2023-04-30,Frozen Foods,3,1,1,25,83.0,320,Sunday,4,1
2023-05-02,Frozen Foods,3,1,1,29,121.0,300,Tuesday,5,0
2023-05-04,Frozen Foods,5,2,2,75,118.8,588,Thursday,5,0
2023-05-06,Frozen Foods,2,1,1,27,96.0,282,Saturday,5,1
2023-05-07,Frozen Foods,5,3,3,98,114.0,894,Sunday,5,1
2023-05-08,Frozen Foods,2,1,1,46,61.0,320,Monday,5,0
2023-05-10,Frozen Foods,1,1,1,66,136.0,292,Wednesday,5,0
2023-05-11,Frozen Foods,2,1,1,36,72.0,320,Thursday,5,0
2023-05-13,Frozen Foods,6,2,2,62,88.5,604,Saturday,5,1
