date,food_category,units_sold,order_count,unique_products,estimated_current_stock_simulated,avg_days_to_expiry_simulated,historical_damaged_stock_total,day_of_week,month,is_weekend
2023-03-16,Fruits,5,2,2,96,2.0,600,Thursday,3,0
2023-03-18,Fruits,3,1,1,30,2.0,300,Saturday,3,1
2023-03-20,Fruits,1,1,1,75,3.0,310,Monday,3,0
2023-03-21,Fruits,1,1,1,76,2.0,310,Tuesday,3,0
2023-03-22,Fruits,2,1,1,59,1.0,298,Wednesday,3,0
2023-03-23,Fruits,1,1,1,35,3.0,300,Thursday,3,0
2023-03-25,Fruits,2,1,1,45,1.0,280,Saturday,3,1
2023-03-28,Fruits,4,2,2,83,2.75,604,Tuesday,3,0
2023-03-29,Fruits,2,1,1,27,3.0,302,Wednesday,3,0
2023-04-01,Fruits,3,1,1,44,3.0,300,Saturday,4,1
2023-04-02,Fruits,5,2,2,103,2.4,620,Sunday,4,1
2023-04-05,Fruits,3,1,1,62,2.0,318,Wednesday,4,0
2023-04-06,Fruits,8,3,3,119,2.0,902,Thursday,4,0
2023-04-07,Fruits,1,1,1,50,3.0,300,Friday,4,0
2023-04-09,Fruits,6,3,3,141,1.67,904,Sunday,4,1
2023-04-11,Fruits,6,2,1,34,2.0,308,Tuesday,4,0
2023-04-13,Fruits,2,1,1,70,3.0,318,Thursday,4,0
2023-04-14,Fruits,6,3,3,140,1.67,886,Friday,4,0
2023-04-15,Fruits,1,1,1,63,1.0,300,Saturday,4,1
2023-04-16,Fruits,6,3,3,171,2.17,892,Sunday,4,1
2023-04-19,Fruits,2,1,1,53,3.0,288,Wednesday,4,0
2023-04-23,Fruits,6,2,2,82,1.5,640,Sunday,4,1
2023-04-24,Fruits,2,1,1,51,2.0,272,Monday,4,0
2023-04-25,Fruits,3,1,1,59,2.0,310,Tuesday,4,0
2023-04-26,Fruits,3,1,1,62,2.0,326,Wednesday,4,0
2023-04-27,Fruits,3,1,1,29,2.0,284,Thursday,4,0
2023-04-28,Fruits,1,1,1,71,3.0,300,Friday,4,0
2023-04-30,Fruits,3,2,2,131,1.0,608,Sunday,4,1
2023-05-01,Fruits,1,1,1,24,3.0,318,Monday,5,0
2023-05-03,Fruits,3,1,1,42,2.0,292,Wednesday,5,0
2023-05-05,Fruits,3,1,1,37,3.0,284,Friday,5,0
2023-05-06,Fruits,3,1,1,26,1.0,294,Saturday,5,1
2023-05-07,Fruits,1,1,1,50,3.0,280,Sunday,5,1
2023-05-08,Fruits,2,2,2,119,1.5,608,Monday,5,0
2023-05-09,Fruits,1,1,1,29,1.0,294,Tuesday,5,0
2023-05-14,Fruits,2,1,1,31,2.0,300,Sunday,5,1
2023-05-17,Fruits,8,4,4,209,2.0,1148,Wednesday,5,0
2023-05-18,Fruits,1,1,1,35,1.0,300,Thursday,5,0
2023-05-19,Fruits,1,1,1,28,1.0,272,Friday,5,0
2023-05-20,Fruits,7,3,2,91,1.43,590,Saturday,5,1
2023-05-22,Fruits,1,1,1,22,3.0,340,Monday,5,0
2023-05-23,Fruits,1,1,1,35,2.0,264,Tuesday,5,0
2023-05-24,Fruits,6,2,2,78,1.5,636,Wednesday,5,0
2023-05-25,Fruits,2,1,1,60,2.0,314,Thursday,5,0
2023-05-26,Fruits,2,1,1,81,3.0,318,Friday,5,0
2023-05-27,Fruits,1,1,1,56,1.0,328,Saturday,5,1
2023-05-28,Fruits,3,1,1,27,1.0,292,Sunday,5,1
2023-05-31,Fruits,1,1,1,32,3.0,288,Wednesday,5,0
2023-06-03,Fruits,2,1,1,42,2.0,310,Saturday,6,1
2023-06-07,Fruits,1,1,1,44,2.0,298,Wednesday,6,0
2023-06-09,Fruits,2,1,1,41,3.0,288,Friday,6,0
2023-06-10,Fruits,8,3,3,158,2.0,944,Saturday,6,1
2023-06-12,Fruits,2,1,1,42,1.0,292,Monday,6,0
2023-06-18,Fruits,2,1,1,58,1.0,272,Sunday,6,1
2023-06-20,Fruits,3,1,1,74,1.0,318,Tuesday,6,0
2023-06-24,Fruits,1,1,1,63,2.0,310,Saturday,6,1
2023-06-26,Fruits,3,2,2,150,1.0,620,Monday,6,0
2023-06-27,Fruits,4,2,2,130,2.0,552,Tuesday,6,0
2023-06-29,Fruits,4,2,2,70,2.0,590,Thursday,6,0
2023-07-02,Fruits,6,3,2,106,1.5,606,Sunday,7,1
2023-07-03,Fruits,8,4,4,190,2.62,1186,Monday,7,0
2023-07-04,Fruits,5,2,2,75,1.6,648,Tuesday,7,0
2023-07-05,Fruits,1,1,1,66,1.0,340,Wednesday,7,0
