date,food_category,units_sold,order_count,unique_products,estimated_current_stock_simulated,avg_days_to_expiry_simulated,historical_damaged_stock_total,day_of_week,month,is_weekend
2023-03-16,Other,8,4,4,156,221.5,1212,Thursday,3,0
2023-03-17,Other,6,4,4,163,189.83,1174,Friday,3,0
2023-03-18,Other,7,3,3,171,207.0,900,Saturday,3,1
2023-03-19,Other,5,2,2,109,207.2,590,Sunday,3,1
2023-03-20,Other,2,2,2,125,236.0,592,Monday,3,0
2023-03-21,Other,14,7,7,343,211.21,2138,Tuesday,3,0
2023-03-22,Other,2,2,2,78,229.5,654,Wednesday,3,0
2023-03-23,Other,2,1,1,84,50.0,314,Thursday,3,0
2023-03-24,Other,4,3,3,151,250.0,832,Friday,3,0
2023-03-25,Other,4,2,2,90,268.0,614,Saturday,3,1
2023-03-26,Other,14,6,6,296,270.07,1806,Sunday,3,1
2023-03-27,Other,3,1,1,65,260.0,302,Monday,3,0
2023-03-28,Other,7,3,3,147,91.29,908,Tuesday,3,0
2023-03-29,Other,10,5,5,163,187.8,1602,Wednesday,3,0
2023-03-30,Other,5,3,3,159,236.4,890,Thursday,3,0
2023-03-31,Other,6,4,4,246,220.33,1166,Friday,3,0
2023-04-01,Other,10,4,4,266,212.3,1250,Saturday,4,1
2023-04-02,Other,9,5,4,158,154.0,1190,Sunday,4,1
2023-04-03,Other,11,5,5,241,155.82,1512,Monday,4,0
2023-04-04,Other,3,2,2,76,128.0,634,Tuesday,4,0
2023-04-05,Other,10,5,5,240,188.8,1484,Wednesday,4,0
2023-04-06,Other,5,3,3,162,265.0,912,Thursday,4,0
2023-04-07,Other,4,4,4,227,285.5,1294,Friday,4,0
2023-04-08,Other,4,2,2,100,64.0,594,Saturday,4,1
2023-04-09,Other,7,3,2,72,198.14,582,Sunday,4,1
2023-04-10,Other,10,5,5,271,226.5,1532,Monday,4,0
2023-04-11,Other,12,7,7,383,188.42,2030,Tuesday,4,0
2023-04-12,Other,7,4,4,129,200.0,1190,Wednesday,4,0
2023-04-13,Other,9,3,3,140,215.0,862,Thursday,4,0
2023-04-14,Other,4,2,2,130,135.5,624,Friday,4,0
2023-04-15,Other,7,3,3,141,263.57,878,Saturday,4,1
2023-04-16,Other,10,4,4,161,156.5,1188,Sunday,4,1
2023-04-17,Other,13,6,6,352,168.62,1732,Monday,4,0
2023-04-18,Other,5,2,2,116,136.4,614,Tuesday,4,0
2023-04-19,Other,6,3,3,119,157.83,864,Wednesday,4,0
2023-04-20,Other,2,1,1,52,158.0,316,Thursday,4,0
2023-04-21,Other,11,7,7,335,202.27,2072,Friday,4,0
2023-04-22,Other,3,2,2,151,145.33,566,Saturday,4,1
2023-04-23,Other,10,4,4,209,174.8,1252,Sunday,4,1
2023-04-24,Other,2,2,2,78,184.0,574,Monday,4,0
2023-04-25,Other,10,7,7,336,200.0,2210,Tuesday,4,0
2023-04-26,Other,4,2,2,84,193.0,656,Wednesday,4,0
2023-04-28,Other,4,2,2,95,155.0,626,Friday,4,0
2023-04-29,Other,2,1,1,55,227.0,302,Saturday,4,1
2023-04-30,Other,11,5,5,224,235.0,1458,Sunday,4,1
2023-05-01,Other,3,2,2,135,134.33,616,Monday,5,0
2023-05-02,Other,1,1,1,47,106.0,268,Tuesday,5,0
2023-05-03,Other,10,4,4,195,225.5,1226,Wednesday,5,0
2023-05-04,Other,12,5,5,193,265.67,1538,Thursday,5,0
2023-05-05,Other,21,9,9,448,178.24,2778,Friday,5,0
2023-05-06,Other,8,4,4,218,201.75,1200,Saturday,5,1
2023-05-07,Other,3,1,1,31,308.0,262,Sunday,5,1
2023-05-08,Other,10,6,6,231,119.6,1834,Monday,5,0
2023-05-09,Other,10,5,5,273,165.2,1474,Tuesday,5,0
2023-05-10,Other,6,4,4,173,126.33,1228,Wednesday,5,0
2023-05-11,Other,9,3,3,130,187.33,880,Thursday,5,0
2023-05-12,Other,9,3,3,144,176.67,892,Friday,5,0
2023-05-13,Other,8,5,5,251,152.88,1430,Saturday,5,1
2023-05-14,Other,11,4,4,161,111.64,1152,Sunday,5,1
2023-05-15,Other,3,2,2,102,161.33,612,Monday,5,0
2023-05-16,Other,4,2,2,90,150.0,574,Tuesday,5,0
2023-05-17,Other,14,6,6,361,153.79,1808,Wednesday,5,0
2023-05-18,Other,13,6,6,296,271.77,1874,Thursday,5,0
2023-05-19,Other,19,8,8,480,169.74,2416,Friday,5,0
2023-05-20,Other,7,4,4,184,222.43,1260,Saturday,5,1
2023-05-22,Other,8,4,4,221,217.62,1342,Monday,5,0
2023-05-23,Other,8,3,3,122,169.88,890,Tuesday,5,0
2023-05-24,Other,10,5,5,261,268.3,1526,Wednesday,5,0
2023-05-25,Other,7,4,4,216,217.14,1178,Thursday,5,0
2023-05-26,Other,6,3,3,115,257.5,854,Friday,5,0
2023-05-27,Other,10,5,5,224,181.5,1514,Saturday,5,1
2023-05-28,Other,6,2,2,93,152.5,606,Sunday,5,1
2023-05-30,Other,7,3,3,122,284.43,936,Tuesday,5,0
2023-05-31,Other,3,3,3,162,153.67,872,Wednesday,5,0
2023-06-01,Other,10,5,5,246,234.3,1486,Thursday,6,0
2023-06-02,Other,10,4,4,151,261.8,1258,Friday,6,0
2023-06-04,Other,3,1,1,32,8.0,264,Sunday,6,1
2023-06-05,Other,9,4,4,257,199.67,1240,Monday,6,0
2023-06-06,Other,7,3,3,80,210.43,890,Tuesday,6,0
2023-06-07,Other,12,6,6,333,160.5,1882,Wednesday,6,0
2023-06-08,Other,4,2,2,91,166.25,642,Thursday,6,0
2023-06-09,Other,13,6,6,305,219.38,1810,Friday,6,0
2023-06-10,Other,10,8,8,367,128.4,2424,Saturday,6,1
2023-06-12,Other,14,7,7,357,134.29,2026,Monday,6,0
2023-06-13,Other,2,2,2,89,215.5,562,Tuesday,6,0
2023-06-14,Other,3,2,2,62,127.33,630,Wednesday,6,0
2023-06-15,Other,8,4,4,197,230.25,1244,Thursday,6,0
2023-06-16,Other,5,3,3,142,177.6,898,Friday,6,0
2023-06-17,Other,10,4,4,192,191.1,1244,Saturday,6,1
2023-06-18,Other,14,5,5,292,112.14,1552,Sunday,6,1
