date,food_category,units_sold,order_count,unique_products,estimated_current_stock_simulated,avg_days_to_expiry_simulated,historical_damaged_stock_total,day_of_week,month,is_weekend
2023-03-17,Snacks,2,1,1,42,23.0,314,Friday,3,0
2023-03-19,Snacks,2,2,2,109,37.5,602,Sunday,3,1
2023-03-21,Snacks,3,2,2,93,60.67,612,Tuesday,3,0
2023-03-22,Snacks,2,1,1,25,49.0,322,Wednesday,3,0
2023-03-28,Snacks,1,1,1,25,72.0,304,Tuesday,3,0
2023-03-29,Snacks,3,1,1,23,19.0,296,Wednesday,3,0
2023-03-30,Snacks,2,1,1,70,38.0,288,Thursday,3,0
2023-03-31,Snacks,3,1,1,50,6.0,292,Friday,3,0
2023-04-02,Snacks,2,1,1,35,58.0,270,Sunday,4,1
2023-04-04,Snacks,3,1,1,57,56.0,284,Tuesday,4,0
2023-04-05,Snacks,3,1,1,54,57.0,306,Wednesday,4,0
2023-04-06,Snacks,4,2,1,35,29.0,270,Thursday,4,0
2023-04-12,Snacks,3,1,1,52,59.0,318,Wednesday,4,0
2023-04-15,Snacks,1,1,1,29,10.0,306,Saturday,4,1
2023-04-16,Snacks,1,1,1,44,53.0,304,Sunday,4,1
2023-04-17,Snacks,2,2,2,87,24.0,622,Monday,4,0
2023-04-18,Snacks,3,1,1,33,48.0,314,Tuesday,4,0
2023-04-19,Snacks,1,1,1,50,62.0,298,Wednesday,4,0
2023-04-21,Snacks,1,1,1,55,19.0,322,Friday,4,0
2023-04-24,Snacks,2,1,1,53,11.0,270,Monday,4,0
2023-04-26,Snacks,1,1,1,39,53.0,296,Wednesday,4,0
2023-04-28,Snacks,1,1,1,61,32.0,270,Friday,4,0
2023-04-29,Snacks,2,1,1,43,86.0,306,Saturday,4,1
2023-04-30,Snacks,1,1,1,61,51.0,298,Sunday,4,1
2023-05-03,Snacks,1,1,1,29,30.0,290,Wednesday,5,0
2023-05-05,Snacks,2,1,1,60,22.0,294,Friday,5,0
2023-05-06,Snacks,4,2,2,79,67.5,636,Saturday,5,1
2023-05-08,Snacks,6,3,3,156,28.83,856,Monday,5,0
2023-05-09,Snacks,1,1,1,16,21.0,270,Tuesday,5,0
2023-05-10,Snacks,1,1,1,65,17.0,294,Wednesday,5,0
2023-05-12,Snacks,3,2,2,81,57.67,618,Friday,5,0
2023-05-13,Snacks,3,1,1,15,72.0,306,Saturday,5,1
2023-05-15,Snacks,2,1,1,71,11.0,288,Monday,5,0
2023-05-16,Snacks,7,4,3,161,21.29,886,Tuesday,5,0
2023-05-17,Snacks,1,1,1,73,5.0,314,Wednesday,5,0
2023-05-19,Snacks,3,2,2,140,60.67,566,Friday,5,0
2023-05-21,Snacks,2,1,1,44,11.0,306,Sunday,5,1
2023-05-23,Snacks,6,2,2,86,56.5,622,Tuesday,5,0
2023-05-24,Snacks,5,2,2,81,7.8,560,Wednesday,5,0
2023-05-25,Snacks,1,1,1,48,16.0,318,Thursday,5,0
2023-05-28,Snacks,3,1,1,35,2.0,270,Sunday,5,1
2023-05-30,Snacks,3,1,1,60,19.0,314,Tuesday,5,0
2023-05-31,Snacks,1,1,1,54,22.0,304,Wednesday,5,0
2023-06-02,Snacks,2,1,1,56,89.0,306,Friday,6,0
2023-06-05,Snacks,3,1,1,65,83.0,310,Monday,6,0
2023-06-06,Snacks,2,1,1,60,4.0,318,Tuesday,6,0
2023-06-07,Snacks,2,2,2,94,12.5,592,Wednesday,6,0
2023-06-08,Snacks,4,2,2,160,65.0,604,Thursday,6,0
2023-06-09,Snacks,1,1,1,63,82.0,306,Friday,6,0
2023-06-17,Snacks,3,1,1,55,78.0,314,Saturday,6,1
2023-06-18,Snacks,3,2,2,116,47.33,616,Sunday,6,1
2023-06-21,Snacks,1,1,1,32,48.0,322,Wednesday,6,0
2023-06-24,Snacks,3,2,2,37,54.67,612,Saturday,6,1
2023-06-27,Snacks,2,1,1,56,37.0,270,Tuesday,6,0
2023-06-28,Snacks,3,1,1,53,7.0,292,Wednesday,6,0
2023-06-30,Snacks,3,2,2,116,12.33,642,Friday,6,0
2023-07-01,Snacks,3,1,1,66,50.0,314,Saturday,7,1
2023-07-03,Snacks,4,2,2,79,72.5,600,Monday,7,0
2023-07-04,Snacks,2,2,2,90,14.0,608,Tuesday,7,0
2023-07-05,Snacks,2,1,1,33,56.0,306,Wednesday,7,0
2023-07-06,Snacks,4,3,3,160,71.75,900,Thursday,7,0
2023-07-08,Snacks,5,2,2,60,51.8,590,Saturday,7,1
2023-07-13,Snacks,2,1,1,25,82.0,292,Thursday,7,0
2023-07-15,Snacks,3,1,1,28,36.0,314,Saturday,7,1
2023-07-16,Snacks,3,2,2,103,58.67,562,Sunday,7,1
2023-07-17,Snacks,2,1,1,29,78.0,292,Monday,7,0
2023-07-18,Snacks,1,1,1,51,60.0,296,Tuesday,7,0
2023-07-19,Snacks,4,2,2,133,51.0,566,Wednesday,7,0
2023-07-23,Snacks,5,2,1,72,58.0,278,Sunday,7,1
2023-07-24,Snacks,3,1,1,23,15.0,322,Monday,7,0
2023-07-27,Snacks,2,1,1,53,31.0,310,Thursday,7,0
2023-08-01,Snacks,3,2,2,73,49.67,582,Tuesday,8,0
2023-08-02,Snacks,3,1,1,32,6.0,322,Wednesday,8,0
2023-08-03,Snacks,1,1,1,41,81.0,322,Thursday,8,0
2023-08-06,Snacks,3,1,1,35,87.0,270,Sunday,8,1
2023-08-07,Snacks,1,1,1,36,18.0,294,Monday,8,0
2023-08-08,Snacks,5,2,2,125,58.6,576,Tuesday,8,0
2023-08-09,Snacks,2,1,1,73,38.0,296,Wednesday,8,0
2023-08-10,Snacks,7,3,3,192,44.29,910,Thursday,8,0
2023-08-11,Snacks,1,1,1,21,39.0,278,Friday,8,0
2023-08-12,Snacks,1,1,1,41,81.0,270,Saturday,8,1
2023-08-13,Snacks,3,2,2,102,63.33,614,Sunday,8,1
2023-08-14,Snacks,1,1,1,43,79.0,270,Monday,8,0
2023-08-16,Snacks,4,2,2,105,56.5,614,Wednesday,8,0
2023-08-17,Snacks,2,1,1,40,17.0,314,Thursday,8,0
2023-08-18,Snacks,5,2,2,67,27.6,596,Friday,8,0
2023-08-19,Snacks,1,1,1,56,61.0,328,Saturday,8,1
2023-08-20,Snacks,2,1,1,49,5.0,294,Sunday,8,1
2023-08-22,Snacks,5,2,2,35,21.0,624,Tuesday,8,0
2023-09-04,Snacks,2,1,1,53,14.0,298,Monday,9,0
2023-09-06,Snacks,5,3,3,114,28.6,962,Wednesday,9,0
2023-09-07,Snacks,5,3,1,41,82.0,306,Thursday,9,0
2023-09-08,Snacks,1,1,1,46,12.0,304,Friday,9,0
2023-09-09,Snacks,3,1,1,24,40.0,328,Saturday,9,1
2023-09-10,Snacks,1,1,1,64,83.0,314,Sunday,9,1
2023-09-11,Snacks,2,1,1,42,72.0,288,Monday,9,0
2023-09-14,Snacks,2,1,1,43,22.0,314,Thursday,9,0
2023-09-15,Snacks,3,1,1,66,75.0,290,Friday,9,0
2023-09-19,Snacks,3,1,1,43,87.0,296,Tuesday,9,0
2023-09-24,Snacks,3,1,1,26,66.0,290,Sunday,9,1
2023-09-26,Snacks,4,2,2,55,54.0,604,Tuesday,9,0
2023-09-27,Snacks,6,2,2,90,50.5,642,Wednesday,9,0
2023-09-28,Snacks,2,1,1,15,36.0,288,Thursday,9,0
2023-09-29,Snacks,2,1,1,58,7.0,314,Friday,9,0
2023-10-02,Snacks,3,2,2,81,31.67,576,Monday,10,0
2023-10-03,Snacks,6,3,3,156,13.33,936,Tuesday,10,0
2023-10-04,Snacks,5,2,2,80,27.4,644,Wednesday,10,0
2023-10-08,Snacks,3,2,2,118,34.0,606,Sunday,10,1
2023-10-10,Snacks,1,1,1,64,66.0,296,Tuesday,10,0
2023-10-12,Snacks,2,1,1,44,48.0,290,Thursday,10,0
2023-10-13,Snacks,1,1,1,66,53.0,304,Friday,10,0
2023-10-17,Snacks,1,1,1,61,40.0,284,Tuesday,10,0
2023-10-23,Snacks,3,1,1,58,45.0,318,Monday,10,0
2023-10-25,Snacks,1,1,1,76,51.0,314,Wednesday,10,0
2023-10-26,Snacks,2,1,1,85,3.0,316,Thursday,10,0
2023-10-28,Snacks,1,1,1,59,26.0,294,Saturday,10,1
2023-10-29,Snacks,2,1,1,36,8.0,322,Sunday,10,1
2023-11-01,Snacks,3,2,2,100,39.67,596,Wednesday,11,0
2023-11-02,Snacks,8,3,3,132,28.5,886,Thursday,11,0
2023-11-03,Snacks,2,1,1,26,75.0,328,Friday,11,0
2023-11-06,Snacks,3,1,1,38,12.0,314,Monday,11,0
2023-11-08,Snacks,4,2,2,82,29.0,614,Wednesday,11,0
2023-11-10,Snacks,4,2,2,113,61.0,592,Friday,11,0
2023-11-11,Snacks,2,1,1,27,34.0,314,Saturday,11,1
2023-11-12,Snacks,2,1,1,51,20.0,314,Sunday,11,1
2023-11-13,Snacks,4,2,2,84,46.25,620,Monday,11,0
2023-11-14,Snacks,2,1,1,76,9.0,294,Tuesday,11,0
2023-11-15,Snacks,2,1,1,45,73.0,316,Wednesday,11,0
2023-11-16,Snacks,1,1,1,30,29.0,296,Thursday,11,0
2023-11-17,Snacks,2,1,1,37,30.0,298,Friday,11,0
2023-11-18,Snacks,3,1,1,57,55.0,296,Saturday,11,1
2023-11-19,Snacks,3,1,1,22,4.0,294,Sunday,11,1
2023-11-20,Snacks,4,2,2,84,5.5,580,Monday,11,0
2023-11-21,Snacks,1,1,1,39,60.0,306,Tuesday,11,0
2023-11-22,Snacks,8,3,3,115,35.12,898,Wednesday,11,0
2023-11-23,Snacks,2,1,1,28,12.0,304,Thursday,11,0
2023-11-24,Snacks,5,2,2,87,53.2,598,Friday,11,0
2023-11-25,Snacks,3,1,1,31,37.0,292,Saturday,11,1
2023-11-26,Snacks,3,1,1,44,55.0,306,Sunday,11,1
2023-11-27,Snacks,4,2,2,140,68.0,636,Monday,11,0
2023-11-29,Snacks,5,2,2,73,34.4,584,Wednesday,11,0
2023-12-01,Snacks,2,2,2,101,67.0,616,Friday,12,0
2023-12-02,Snacks,6,2,2,102,63.5,602,Saturday,12,1
2023-12-04,Snacks,2,1,1,54,13.0,298,Monday,12,0
2023-12-06,Snacks,1,1,1,66,52.0,316,Wednesday,12,0
2023-12-07,Snacks,2,2,2,108,46.0,588,Thursday,12,0
2023-12-08,Snacks,4,2,2,95,42.0,568,Friday,12,0
2023-12-09,Snacks,3,2,2,130,8.33,576,Saturday,12,1
2023-12-10,Snacks,3,2,2,89,51.0,592,Sunday,12,1
2023-12-12,Snacks,5,2,2,104,82.0,632,Tuesday,12,0
2023-12-13,Snacks,2,1,1,57,2.0,296,Wednesday,12,0
2023-12-15,Snacks,4,2,2,86,23.0,608,Friday,12,0
2023-12-20,Snacks,8,3,3,132,57.0,880,Wednesday,12,0
2023-12-21,Snacks,5,2,2,50,57.6,624,Thursday,12,0
2023-12-22,Snacks,6,2,2,99,41.5,592,Friday,12,0
2023-12-23,Snacks,4,2,2,64,79.25,604,Saturday,12,1
2023-12-24,Snacks,1,1,1,53,37.0,270,Sunday,12,1
2023-12-27,Snacks,4,2,2,64,36.0,642,Wednesday,12,0
2023-12-28,Snacks,4,2,2,115,9.0,610,Thursday,12,0
2023-12-29,Snacks,2,1,1,62,54.0,294,Friday,12,0
2023-12-30,Snacks,4,2,2,105,53.0,558,Saturday,12,1
2024-01-01,Snacks,7,3,3,183,53.29,884,Monday,1,0
2024-01-03,Snacks,8,3,2,111,49.75,578,Wednesday,1,0
2024-01-04,Snacks,3,1,1,20,90.0,314,Thursday,1,0
2024-01-05,Snacks,2,1,1,44,16.0,322,Friday,1,0
2024-01-07,Snacks,6,2,2,63,73.0,632,Sunday,1,1
2024-01-09,Snacks,3,1,1,75,55.0,304,Tuesday,1,0
2024-01-13,Snacks,7,3,3,113,20.0,904,Saturday,1,1
2024-01-15,Snacks,2,1,1,39,76.0,292,Monday,1,0
2024-01-16,Snacks,1,1,1,31,19.0,322,Tuesday,1,0
2024-01-17,Snacks,1,1,1,92,57.0,296,Wednesday,1,0
2024-01-18,Snacks,6,3,3,166,55.5,954,Thursday,1,0
2024-01-20,Snacks,1,1,1,99,31.0,288,Saturday,1,1
2024-01-22,Snacks,3,1,1,38,72.0,314,Monday,1,0
2024-01-23,Snacks,3,1,1,54,4.0,316,Tuesday,1,0
2024-01-24,Snacks,1,1,1,60,52.0,298,Wednesday,1,0
