date,food_category,units_sold,order_count,unique_products,estimated_current_stock_simulated,avg_days_to_expiry_simulated,historical_damaged_stock_total,day_of_week,month,is_weekend
2023-03-16,Dairy,1,1,1,37,5.0,296,Thursday,3,0
2023-03-16,Dry Goods,3,1,1,29,308.0,290,Thursday,3,0
2023-03-16,Frozen Foods,1,1,1,84,115.0,286,Thursday,3,0
2023-03-16,Fruits,5,2,2,96,2.0,600,Thursday,3,0
2023-03-16,Other,8,4,4,156,221.5,1212,Thursday,3,0
2023-03-17,Beverages,1,1,1,47,105.0,274,Friday,3,0
2023-03-17,Other,6,4,4,163,189.83,1174,Friday,3,0
2023-03-17,Snacks,2,1,1,42,23.0,314,Friday,3,0
2023-03-18,Beverages,4,2,2,111,170.25,562,Saturday,3,1
2023-03-18,Frozen Foods,2,1,1,24,49.0,264,Saturday,3,1
2023-03-18,Fruits,3,1,1,30,2.0,300,Saturday,3,1
2023-03-18,Other,7,3,3,171,207.0,900,Saturday,3,1
2023-03-19,Dairy,6,3,3,135,3.33,894,Sunday,3,1
2023-03-19,Other,5,2,2,109,207.2,590,Sunday,3,1
2023-03-19,Snacks,2,2,2,109,37.5,602,Sunday,3,1
2023-03-20,Beverages,1,1,1,52,74.0,342,Monday,3,0
2023-03-20,Fruits,1,1,1,75,3.0,310,Monday,3,0
2023-03-20,Other,2,2,2,125,236.0,592,Monday,3,0
2023-03-21,Frozen Foods,7,3,3,105,98.43,922,Tuesday,3,0
2023-03-21,Fruits,1,1,1,76,2.0,310,Tuesday,3,0
2023-03-21,Other,14,7,7,343,211.21,2138,Tuesday,3,0
2023-03-21,Snacks,3,2,2,93,60.67,612,Tuesday,3,0
2023-03-22,Beverages,2,1,1,40,12.0,314,Wednesday,3,0
2023-03-22,Dry Goods,2,1,1,20,239.0,314,Wednesday,3,0
2023-03-22,Fruits,2,1,1,59,1.0,298,Wednesday,3,0
2023-03-22,Other,2,2,2,78,229.5,654,Wednesday,3,0
2023-03-22,Snacks,2,1,1,25,49.0,322,Wednesday,3,0
2023-03-23,Dairy,3,2,2,89,3.33,582,Thursday,3,0
2023-03-23,Dry Goods,2,1,1,52,343.0,280,Thursday,3,0
2023-03-23,Fruits,1,1,1,35,3.0,300,Thursday,3,0
2023-03-23,Other,2,1,1,84,50.0,314,Thursday,3,0
2023-03-24,Dry Goods,3,1,1,78,344.0,326,Friday,3,0
2023-03-24,Other,4,3,3,151,250.0,832,Friday,3,0
2023-03-25,Beverages,2,1,1,45,17.0,320,Saturday,3,1
2023-03-25,Dairy,5,3,2,109,4.2,594,Saturday,3,1
2023-03-25,Dry Goods,1,1,1,23,236.0,314,Saturday,3,1
2023-03-25,Frozen Foods,6,3,3,79,124.67,848,Saturday,3,1
2023-03-25,Fruits,2,1,1,45,1.0,280,Saturday,3,1
2023-03-25,Other,4,2,2,90,268.0,614,Saturday,3,1
2023-03-26,Beverages,1,1,1,44,8.0,314,Sunday,3,1
2023-03-26,Dairy,2,1,1,23,6.0,306,Sunday,3,1
2023-03-26,Frozen Foods,1,1,1,69,180.0,316,Sunday,3,1
2023-03-26,Other,14,6,6,296,270.07,1806,Sunday,3,1
2023-03-27,Beverages,3,1,1,65,163.0,270,Monday,3,0
2023-03-27,Dairy,4,2,2,107,5.5,548,Monday,3,0
2023-03-27,Frozen Foods,4,2,2,95,41.0,578,Monday,3,0
2023-03-27,Other,3,1,1,65,260.0,302,Monday,3,0
2023-03-28,Beverages,2,1,1,64,159.0,280,Tuesday,3,0
2023-03-28,Dairy,2,2,2,71,6.0,588,Tuesday,3,0
2023-03-28,Fruits,4,2,2,83,2.75,604,Tuesday,3,0
2023-03-28,Other,7,3,3,147,91.29,908,Tuesday,3,0
2023-03-28,Snacks,1,1,1,25,72.0,304,Tuesday,3,0
2023-03-29,Dairy,3,1,1,49,3.0,322,Wednesday,3,0
2023-03-29,Frozen Foods,5,2,2,60,115.0,564,Wednesday,3,0
2023-03-29,Fruits,2,1,1,27,3.0,302,Wednesday,3,0
2023-03-29,Other,10,5,5,163,187.8,1602,Wednesday,3,0
2023-03-29,Snacks,3,1,1,23,19.0,296,Wednesday,3,0
2023-03-30,Beverages,2,1,1,33,92.0,274,Thursday,3,0
2023-03-30,Dairy,3,1,1,45,1.0,308,Thursday,3,0
2023-03-30,Dry Goods,1,1,1,55,109.0,300,Thursday,3,0
2023-03-30,Other,5,3,3,159,236.4,890,Thursday,3,0
2023-03-30,Snacks,2,1,1,70,38.0,288,Thursday,3,0
2023-03-31,Dry Goods,1,1,1,83,71.0,262,Friday,3,0
2023-03-31,Frozen Foods,3,1,1,46,99.0,320,Friday,3,0
2023-03-31,Other,6,4,4,246,220.33,1166,Friday,3,0
2023-03-31,Snacks,3,1,1,50,6.0,292,Friday,3,0
2023-04-01,Frozen Foods,1,1,1,38,35.0,264,Saturday,4,1
2023-04-01,Fruits,3,1,1,44,3.0,300,Saturday,4,1
2023-04-01,Other,10,4,4,266,212.3,1250,Saturday,4,1
2023-04-02,Beverages,3,1,1,51,1.0,314,Sunday,4,1
2023-04-02,Fruits,5,2,2,103,2.4,620,Sunday,4,1
2023-04-02,Other,9,5,4,158,154.0,1190,Sunday,4,1
2023-04-02,Snacks,2,1,1,35,58.0,270,Sunday,4,1
2023-04-03,Frozen Foods,1,1,1,45,91.0,294,Monday,4,0
2023-04-03,Other,11,5,5,241,155.82,1512,Monday,4,0
2023-04-04,Beverages,3,1,1,53,44.0,316,Tuesday,4,0
2023-04-04,Dry Goods,5,2,2,86,167.6,640,Tuesday,4,0
2023-04-04,Frozen Foods,3,1,1,29,106.0,304,Tuesday,4,0
2023-04-04,Other,3,2,2,76,128.0,634,Tuesday,4,0
2023-04-04,Snacks,3,1,1,57,56.0,284,Tuesday,4,0
2023-04-05,Dairy,4,2,2,77,4.0,588,Wednesday,4,0
2023-04-05,Fruits,3,1,1,62,2.0,318,Wednesday,4,0
2023-04-05,Other,10,5,5,240,188.8,1484,Wednesday,4,0
2023-04-05,Snacks,3,1,1,54,57.0,306,Wednesday,4,0
2023-04-06,Dairy,4,2,2,110,2.0,590,Thursday,4,0
2023-04-06,Frozen Foods,5,2,2,100,105.4,596,Thursday,4,0
2023-04-06,Fruits,8,3,3,119,2.0,902,Thursday,4,0
2023-04-06,Other,5,3,3,162,265.0,912,Thursday,4,0
2023-04-06,Snacks,4,2,1,35,29.0,270,Thursday,4,0
2023-04-07,Beverages,4,2,2,150,151.75,570,Friday,4,0
2023-04-07,Dairy,5,2,2,73,4.0,626,Friday,4,0
2023-04-07,Frozen Foods,3,1,1,54,101.0,292,Friday,4,0
2023-04-07,Fruits,1,1,1,50,3.0,300,Friday,4,0
2023-04-07,Other,4,4,4,227,285.5,1294,Friday,4,0
2023-04-08,Dairy,2,1,1,62,3.0,308,Saturday,4,1
2023-04-08,Dry Goods,5,2,2,106,220.2,556,Saturday,4,1
2023-04-08,Other,4,2,2,100,64.0,594,Saturday,4,1
2023-04-09,Beverages,3,1,1,52,178.0,318,Sunday,4,1
2023-04-09,Dairy,6,3,3,122,4.33,848,Sunday,4,1
2023-04-09,Dry Goods,2,1,1,57,40.0,306,Sunday,4,1
2023-04-09,Fruits,6,3,3,141,1.67,904,Sunday,4,1
2023-04-09,Other,7,3,2,72,198.14,582,Sunday,4,1
2023-04-10,Dry Goods,2,1,1,91,71.0,248,Monday,4,0
2023-04-10,Frozen Foods,4,2,2,77,94.0,662,Monday,4,0
2023-04-10,Other,10,5,5,271,226.5,1532,Monday,4,0
2023-04-11,Dairy,3,1,1,63,7.0,296,Tuesday,4,0
2023-04-11,Dry Goods,1,1,1,40,219.0,314,Tuesday,4,0
2023-04-11,Fruits,6,2,1,34,2.0,308,Tuesday,4,0
2023-04-11,Other,12,7,7,383,188.42,2030,Tuesday,4,0
2023-04-12,Frozen Foods,3,1,1,21,6.0,284,Wednesday,4,0
2023-04-12,Other,7,4,4,129,200.0,1190,Wednesday,4,0
2023-04-12,Snacks,3,1,1,52,59.0,318,Wednesday,4,0
2023-04-13,Dairy,1,1,1,59,1.0,308,Thursday,4,0
2023-04-13,Dry Goods,3,2,2,124,136.67,534,Thursday,4,0
2023-04-13,Frozen Foods,5,2,2,74,62.0,606,Thursday,4,0
2023-04-13,Fruits,2,1,1,70,3.0,318,Thursday,4,0
2023-04-13,Other,9,3,3,140,215.0,862,Thursday,4,0
2023-04-14,Dry Goods,1,1,1,74,321.0,280,Friday,4,0
2023-04-14,Frozen Foods,1,1,1,42,118.0,282,Friday,4,0
2023-04-14,Fruits,6,3,3,140,1.67,886,Friday,4,0
2023-04-14,Other,4,2,2,130,135.5,624,Friday,4,0
2023-04-15,Beverages,3,1,1,54,138.0,298,Saturday,4,1
2023-04-15,Frozen Foods,4,2,2,95,99.0,642,Saturday,4,1
2023-04-15,Fruits,1,1,1,63,1.0,300,Saturday,4,1
2023-04-15,Other,7,3,3,141,263.57,878,Saturday,4,1
2023-04-15,Snacks,1,1,1,29,10.0,306,Saturday,4,1
2023-04-16,Beverages,5,2,2,55,74.6,648,Sunday,4,1
2023-04-16,Dairy,1,1,1,50,4.0,304,Sunday,4,1
2023-04-16,Dry Goods,3,1,1,64,33.0,306,Sunday,4,1
2023-04-16,Frozen Foods,6,2,2,86,80.0,640,Sunday,4,1
2023-04-16,Fruits,6,3,3,171,2.17,892,Sunday,4,1
2023-04-16,Other,10,4,4,161,156.5,1188,Sunday,4,1
2023-04-16,Snacks,1,1,1,44,53.0,304,Sunday,4,1
2023-04-17,Beverages,3,1,1,55,92.0,280,Monday,4,0
2023-04-17,Other,13,6,6,352,168.62,1732,Monday,4,0
2023-04-17,Snacks,2,2,2,87,24.0,622,Monday,4,0
2023-04-18,Other,5,2,2,116,136.4,614,Tuesday,4,0
2023-04-18,Snacks,3,1,1,33,48.0,314,Tuesday,4,0
2023-04-19,Beverages,3,1,1,38,164.0,314,Wednesday,4,0
2023-04-19,Dry Goods,1,1,1,32,281.0,344,Wednesday,4,0
2023-04-19,Fruits,2,1,1,53,3.0,288,Wednesday,4,0
2023-04-19,Other,6,3,3,119,157.83,864,Wednesday,4,0
2023-04-19,Snacks,1,1,1,50,62.0,298,Wednesday,4,0
2023-04-20,Other,2,1,1,52,158.0,316,Thursday,4,0
2023-04-21,Beverages,1,1,1,39,138.0,270,Friday,4,0
2023-04-21,Dairy,5,3,3,123,1.8,868,Friday,4,0
2023-04-21,Dry Goods,1,1,1,31,105.0,304,Friday,4,0
